cluster,keyword,volume,kd,cpc_usd,traffic_potential,intent_bucket,ahrefs_intents,serp_features,growth_12mo,opportunity,parent_keyword
Brand 'is X halal' checks,is jollibee halal in singapore,150,11,0.00,150,Informational,"Informational,Branded,Non-local","People also ask,Local pack,Sitelinks",0.0,198.4,is jollibee halal in singapore
Brand 'is X halal' checks,is subway halal,150,0,0.00,70,Informational,"Informational,Branded,Non-local","People also ask,Discussions,Video preview",0.0,220.4,is subway halal
Brand 'is X halal' checks,is haidilao halal,150,0,0.00,50,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Discussions,Video preview",0.0,220.4,is haidilao halal
Brand 'is X halal' checks,mr bean halal,150,0,0.20,1900,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Image pack",0.0,298.2,mr bean
Brand 'is X halal' checks,is grain halal,150,2,0.03,6100,Informational,"Informational,Non-branded,Non-local","People also ask,Knowledge panel",0.0,342.2,grain catering
Brand 'is X halal' checks,is soup spoon halal,150,0,0.00,8100,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask",0.0,360.9,soup spoon
Brand 'is X halal' checks,jollibee halal,150,32,0.09,150,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Discussions,Local pack",0.0,156.3,is jollibee halal in singapore
Brand 'is X halal' checks,is each a cup halal,150,0,0.00,80,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Video preview",0.0,220.4,is each a cup halal
Brand 'is X halal' checks,is smooy halal,150,0,0.00,10,Informational,"Informational,Branded,Non-local","People also ask,Video preview",0.0,220.4,is smooy halal
Brand 'is X halal' checks,is fnp cake halal,150,0,0.00,0,Informational,,,0.0,220.4,
Brand 'is X halal' checks,is takagi ramen halal,150,0,0.00,1100,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Sitelinks,Video preview",0.0,274.8,takagi ramen
Brand 'is X halal' checks,is melvados halal,150,0,0.00,6500,Commercial,"Informational,Commercial,Branded,Non-local","Sitelinks,People also ask,Local pack",0.0,351.3,melvados
Brand 'is X halal' checks,is wingstop halal,150,0,0.00,100,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Video preview,Discussions",0.0,220.4,is wingstop halal
Brand 'is X halal' checks,is tipo halal,150,0,0.00,900,Commercial,"Informational,Commercial,Branded,Local","People also ask,Knowledge panel,Sitelinks,Discussions",0.0,266.3,tipo pasta
Brand 'is X halal' checks,is heavenly wang halal,150,0,0.00,2100,Commercial,"Informational,Commercial,Branded,Local","People also ask,Knowledge panel",0.0,302.5,heavenly wang
Brand 'is X halal' checks,is coffee bean halal,150,0,0.00,50,Informational,"Informational,Non-branded,Non-local","AI Overview,Thumbnail,People also ask",0.0,220.4,is coffee bean halal
Brand 'is X halal' checks,is sushiro halal,150,0,0.00,20,Informational,"Informational,Branded,Non-local","People also ask,Sitelinks,Discussions",0.0,220.4,sushiro halal
Brand 'is X halal' checks,is luckin coffee halal,150,0,0.00,30,Informational,"Informational,Branded,Non-local","People also ask,Video preview",0.0,220.4,luckin coffee halal
Brand 'is X halal' checks,is josh grill halal,150,0,0.00,70,Informational,"Informational,Branded,Local","AI Overview,Thumbnail,People also ask,Video preview,Knowledge panel",0.0,220.4,is josh grill halal
Brand 'is X halal' checks,is forex trading halal,150,1,0.00,150,Informational,"Informational,Non-branded,Non-local","AI Overview,Thumbnail,People also ask,Sitelinks,Discussions,Video preview",0.0,218.4,is trading haram
Brand 'is X halal' checks,is itea halal,150,1,0.00,4500,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask",0.0,332.4,itea
Brand 'is X halal' checks,is neo garden halal,150,2,0.30,1200,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Knowledge panel",0.0,273.5,delihub
Brand 'is X halal' checks,is famous amos halal,150,1,0.09,200,Commercial,"Informational,Commercial,Branded,Non-local",People also ask,0.0,218.4,famous amos halal
Brand 'is X halal' checks,is mentos halal,150,0,0.00,60,Commercial,"Informational,Commercial,Branded,Non-local",People also ask,0.0,220.4,is mentos halal
Brand 'is X halal' checks,is twelve cupcakes halal,150,0,0.15,90,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask",0.0,220.4,twelve cupcakes halal
Brand 'is X halal' checks,chagee halal,100,0,0.00,0,Other,,,0.0,204.1,
Brand 'is X halal' checks,is namu bulgogi halal,100,0,0.00,0,Informational,,,0.0,204.1,
Brand 'is X halal' checks,is mr coconut halal,100,2,0.00,300,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Video preview",0.0,216.4,mr coconut calories
Brand 'is X halal' checks,is nissin cup noodles halal,100,0,0.00,90,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Discussions",0.0,204.1,nissin cup noodles
Brand 'is X halal' checks,krispy kreme halal,100,0,0.35,3000,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Sitelinks,Discussions",0.0,317.9,krispy kreme singapore
Brand 'is X halal' checks,is royce halal,100,0,0.60,200,Commercial,"Informational,Commercial,Branded,Non-local",People also ask,0.0,204.1,is royce chocolate halal
Brand 'is X halal' checks,is fieldnotes halal,100,0,0.00,0,Informational,,,0.0,204.1,
Brand 'is X halal' checks,is takis halal,100,0,0.00,20,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask,Video preview,Discussions",0.0,204.1,is takis halal
Brand 'is X halal' checks,is sushi express halal,100,2,0.00,20,Informational,"Informational,Branded,Non-local",People also ask,0.0,200.4,sushi express halal
Brand 'is X halal' checks,is chagee halal singapore,100,0,0.00,0,Informational,,,0.0,204.1,
Brand 'is X halal' checks,is godiva halal,100,0,0.35,150,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Discussions,Video preview",0.0,204.1,halal chocolate singapore
Brand 'is X halal' checks,is bhc chicken halal,100,1,0.00,70,Informational,"Informational,Branded,Non-local","People also ask,Knowledge panel,Discussions",0.0,202.3,bhc chicken halal
Brand 'is X halal' checks,is buddy hoagies halal,100,0,0.00,900,Commercial,"Informational,Commercial,Branded,Non-local",People also ask,0.0,266.3,buddy hoagies menu
Brand 'is X halal' checks,is duck halal,100,0,0.00,10,Informational,"Informational,Non-branded,Non-local","People also ask,Sitelinks",0.0,204.1,is duck halal
Brand 'is X halal' checks,old chang kee halal,100,0,0.20,150,Commercial,"Informational,Commercial,Branded,Local","People also ask,Local pack",0.0,204.1,is old chang kee halal
Brand 'is X halal' checks,is magnum halal,100,0,0.20,70,Informational,"Informational,Branded,Non-local","People also ask,Sitelinks,Video preview",0.0,204.1,is magnum ice cream halal
Brand 'is X halal' checks,is emicakes halal,100,0,0.40,2900,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,Sitelinks,People also ask",0.0,316.4,emicakes
Brand 'is X halal' checks,is ikea halal,100,0,0.15,10000,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Sitelinks",0.0,370.0,ikea tampines
Brand 'is X halal' checks,is chick fil a halal in singapore,100,0,0.00,0,Informational,,,0.0,204.1,
Brand 'is X halal' checks,is burger king halal in singapore,100,0,0.00,30,Informational,"Informational,Branded,Local","People also ask,Discussions,Video preview",0.0,204.1,burger king halal
Brand 'is X halal' checks,is potato corner halal in singapore,100,0,0.00,0,Informational,,,0.0,204.1,
Brand 'is X halal' checks,is mos burger halal in singapore,100,0,0.00,9400,Informational,"Informational,Branded,Non-local","People also ask,Sitelinks,Discussions,Video preview",0.0,367.3,mos burger
Brand 'is X halal' checks,is butter studio halal,100,5,0.45,4600,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,Sitelinks,People also ask,Local pack",0.0,321.1,butter studio
Brand 'is X halal' checks,sukiya halal singapore,100,5,0.00,1200,Informational,"Informational,Branded,Local","Local pack,People also ask,Video preview",0.0,265.9,sukiya halal
Brand 'is X halal' checks,is lotteria halal,100,0,0.00,0,Informational,,,0.0,204.1,
Brand 'is X halal' checks,wingstop halal,100,1,1.80,70,Commercial,"Informational,Commercial,Branded,Local","People also ask,Local pack",0.0,202.3,wingstop halal
Brand 'is X halal' checks,is polar halal,100,0,0.01,7200,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Sitelinks",0.0,355.8,polar cake
Brand 'is X halal' checks,is starbucks halal in singapore,100,0,0.00,150,Informational,"Informational,Branded,Local","People also ask,Sitelinks,Video preview",0.0,204.1,is starbucks singapore halal
Brand 'is X halal' checks,is mixue halal,100,0,0.00,50,Informational,"Informational,Branded,Non-local","People also ask,Video preview",0.0,204.1,is mixue halal
Brand 'is X halal' checks,is killiney halal,100,0,0.00,2500,Informational,"Informational,Branded,Local","Sitelinks,People also ask,Thumbnail,Image pack",0.0,310.0,killiney
Brand 'is X halal' checks,is mdm ling bakery halal,100,0,0.20,3700,Informational,"Informational,Branded,Local","AI Overview,Thumbnail,Sitelinks,People also ask,Knowledge panel,Video preview",0.0,327.0,mdm ling
Brand 'is X halal' checks,is playmade halal,100,0,0.00,250,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Image pack",0.0,213.0,is koi halal
Brand 'is X halal' checks,is nunsaram halal,100,0,0.00,800,Informational,"Informational,Branded,Local","AI Overview,Thumbnail,People also ask,Knowledge panel",0.0,261.3,nunsaram
Brand 'is X halal' checks,is wewa halal,100,0,0.00,0,Informational,,,0.0,204.1,
Brand 'is X halal' checks,is hot tomato halal,100,3,0.00,2000,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Knowledge panel",0.0,292.2,hot tomato menu
Brand 'is X halal' checks,famous amos halal,100,0,0.25,200,Informational,"Informational,Branded,Non-local","People also ask,Image pack",0.0,204.1,famous amos halal
Brand 'is X halal' checks,is wok hey halal,100,0,0.00,100,Informational,"Informational,Branded,Non-local","People also ask,Discussions,Local pack,Video preview",0.0,204.1,wok hey halal
Brand 'is X halal' checks,is prima deli halal,100,0,0.00,6800,Informational,"Informational,Branded,Non-local","Sitelinks,People also ask,Discussions,Local pack",0.0,353.3,prima deli
Brand 'is X halal' checks,is kinder bueno halal,100,0,0.00,0,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Sitelinks",0.0,204.1,kinder bueno halal
Brand 'is X halal' checks,is cheetos halal,100,0,0.00,60,Informational,"Informational,Branded,Non-local","People also ask,Discussions",0.0,204.1,is cheetos halal
Brand 'is X halal' checks,shake shack halal singapore,90,0,0.00,200,Informational,"Informational,Branded,Local","People also ask,Local pack,Video preview",0.0,204.1,shake shack singapore halal
Brand 'is X halal' checks,is sanook kitchen halal,90,0,0.00,7600,Informational,"Informational,Branded,Local","AI Overview,Thumbnail,Local pack,People also ask",0.0,358.1,sanook
Brand 'is X halal' checks,is poke theory halal,90,0,0.05,80,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Local pack",0.0,200.0,is poke theory halal
Brand 'is X halal' checks,chateraise halal or not,90,0,0.00,350,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Sitelinks,Video preview",0.0,226.7,is chateraise halal
Brand 'is X halal' checks,is so pho halal,90,0,0.00,30,Informational,"Informational,Branded,Local","People also ask,Local pack",0.0,200.0,so pho halal
Brand 'is X halal' checks,is sour patch halal,90,0,0.00,40,Informational,"Informational,Branded,Non-local","People also ask,Sitelinks,Discussions,Video preview",0.0,200.0,is sour patch halal
Brand 'is X halal' checks,is shake shack halal singapore,90,0,0.00,50,Informational,"Informational,Branded,Non-local","People also ask,Knowledge panel,Discussions",0.0,200.0,shake shack halal singapore
Brand 'is X halal' checks,is huevos halal,90,1,0.00,2100,Informational,"Informational,Branded,Local","Sitelinks,People also ask,Knowledge panel",0.0,299.8,huevos singapore
Brand 'is X halal' checks,is chick fil a halal,90,0,0.00,0,Informational,,,0.0,200.0,
Brand 'is X halal' checks,prima deli halal,90,0,0.10,6700,Commercial,"Informational,Commercial,Branded,Local","Sitelinks,People also ask,Local pack",0.0,352.6,prima deli
Brand 'is X halal' checks,is birds of paradise halal,90,0,0.00,50,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Knowledge panel",0.0,200.0,is birds of paradise halal
Brand 'is X halal' checks,is dunkin donuts halal,90,2,0.00,90,Informational,"Informational,Branded,Non-local","People also ask,Video preview",0.0,196.4,is dunkin donuts halal
Brand 'is X halal' checks,is horse meat halal,90,0,0.00,10,Informational,"Informational,Non-branded,Non-local","AI Overview,Thumbnail,People also ask,Discussions",0.0,200.0,is horse meat halal
Brand 'is X halal' checks,is oriental kopi halal,90,0,0.00,0,Informational,,,0.0,200.0,
Brand 'is X halal' checks,is qiji halal,90,0,0.00,2900,Commercial,"Informational,Commercial,Branded,Local","Sitelinks,People also ask,Local pack",0.0,316.4,qiji
Brand 'is X halal' checks,is mcdonald's halal in singapore,90,0,0.45,70,Informational,"Informational,Branded,Non-local","People also ask,Sitelinks,Discussions,Video preview",0.0,200.0,is mcdonald's halal in singapore
Brand 'is X halal' checks,is purest co halal,90,0,0.00,0,Informational,,,0.0,200.0,
Brand 'is X halal' checks,is isteaks halal,90,0,0.00,600,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask,Video preview,Sitelinks",0.0,249.1,isteaks jem
Brand 'is X halal' checks,is bored tacos halal,90,0,0.00,0,Informational,,,0.0,200.0,
Brand 'is X halal' checks,is yochi halal,90,0,0.00,0,Informational,,,0.0,200.0,
Brand 'is X halal' checks,is violet oon halal,90,12,0.00,200,Commercial,"Informational,Commercial,Non-branded,Local","AI Overview,Thumbnail,People also ask,Local pack",0.0,181.9,violet oon dempsey
Brand 'is X halal' checks,is marche halal,90,12,0.00,40,Informational,"Informational,Branded,Non-local",People also ask,0.0,178.2,marche halal
Brand 'is X halal' checks,sukiya halal?,80,4,0.00,13000,Informational,"Informational,Branded,Non-local","Sitelinks,People also ask,Discussions,Local pack",0.0,367.5,sukiya
Brand 'is X halal' checks,is greendot halal,80,0,0.00,40,Informational,"Informational,Branded,Local","AI Overview,Thumbnail,People also ask,Discussions,Video preview",0.0,195.4,is greendot halal
Brand 'is X halal' checks,is 4 leaves halal,80,0,0.00,3000,Commercial,"Informational,Commercial,Branded,Non-local",People also ask,0.0,317.9,four leaves
Brand 'is X halal' checks,is mcdonald's halal,80,0,0.00,50,Informational,"Informational,Branded,Non-local","People also ask,Sitelinks",0.0,195.4,is mcdonald's halal in singapore
